naziv,slika,tag,kalorije,UH,proteini,masti,GI,sastojci,priprema,
Paradajz corba,../images/recipe3.jpg,"nizak_gi,niski_UH,niskokaloricno",108,9.5,3.8,6,20,"   •      20 g ulja od grozdanih kostica ili maslinovog ulja od komine masline
   •    (3 supene kasike)
   •      30 g integralnog ovsenog brasna
   •      350 g pasiranog paradajza ""Tomatello""
   •      so, zacini po ukusu -
   •      1 manje jaje
   •      650 g vode
   •      3 lista lovora","U zagrejano ulje staviti 10 g brasna (1 srednje puna supena kasika) i sacekati da blago porumeni, a zatim dodati lovor i malo promesati (da se oseti miris lovora).
 Sipati pasirani paradajz, promesati i dodati vodu.
Kada corba provri, posoliti je i zaciniti po ukusu. 
U posebnom sudu umutiti jaje sa 20 g brasna, posoliti i polako dodavati u corbu tako da lagano curi sa kasike (u obliku krpica).
Prokuvati 2 do 3 minuta i sluziti toplo.
Po želji se corba moze posuti ribanim parmezanom.",
Salata od pirinca,../images/recipe18.jpg,niskokaloricno,108,13.8,4.5,3.8,39,"   •      450 g mesanog povrca za cuvec
   •      200 g pirinca
   •      100 g parmezana
   •      2 supene kasike seckanog persuna
   •      40 g kapra
   •      20 g hladno cedenog maslinovog ulja
   •      sok od jednog limuna
   •      so, biber","Povrée kuvati u posoljenoj vodi 8-10
minuta. Basmati pirinac kuvati u slanoj vodi oko 20 minuta, dok ne postane mean.
Zrna kapra preseci na pola.
Pomesati pirinac, povrce i kapar,dodati maslinovo ulje, so, limunov sok i polovinu parmezana, pa sve sjediniti.
Posuti drugom polovinom parmezana i sluziti hladno!",
Rizoto sa dagnjama,../images/recipe15.jpg,"niski_UH,niskokaloricno",112,8.9,5.5,6,35,"   •      500 g dagnji (ociscenih, zamrznutih)
   •      150 g Basmati pirinca
   •      100 g crnog luka
   •      300 g svezeg paradajza
   •      1.5 dl suvog belog vina
   •      60 g ulja od komine masline
   •      100 g parmezana
   •      15 g belog luka (3-4 cena)
   •      15 g persuna (jedna saka)
   •      so, lovor, ruzmarin, zacini po ukusu","Sitno iseckati luk i dinstati ga na maslinovom ulju, podlivajuci vodom, dok ne postane staklast. 
Dodati pirina, malo ga propriiti, sipati vino i 1.5 dl vode, staviti 2-3 lista lovora, beli luk iseckan na listice i jednu kafenu kasicicu mrvijenog ruzmarina (moze i grancica, ukoliko imate svez u basti), zaciniti i kuvati pirina desetak minuta. 
Za to vreme paradajz spustiti u kljucalu vodu, prokuvati ga par minuta i skinuti kozicu. Iseci ga na sitnije komade i dodati u pirinac, zajedno sa dagnjama. 
Dinstati jos oko 20 minuta, dok pirina potpuno ne omeksa i dolivati vodu po potrebi (jos oko 1.5 di). 
Kada je rizoto gotov (treba da ostane socan) dodati parmezan i sino seckani persun, pazijivo promesati, poklopiti i ostaviti da odstoji nekoliko minuta.
 Sluziti toplo!",
Lazanja sa ovsenim korama,../images/recipe8.jpg,niskokaloricno,127,13.1,5.4,5.9,29,"   •      500 g kora za pitu od integralnog ovsenog brasna
   •      30 g ulja od grozdanih kostica
   •      30 g putera (maslaca)
   •      330 g mlevenog juneceg mesa
   •      500 g pasiranog paradajza
   •      200 g sampinjona
   •      130 g crnog luka
   •      600 g mleka (1.6% m. m.)
   •      300 g rendanog kackavalja
   •      30 g ovsenog brasna
   •      so, zacini po ukusu, origano","Izdinstati sitno iseckan luk, dodatimleveno meso i sitno iseckane
Sampinjone, paradajz, biber, so i origano (celu kesicu od 12 g) i sve prodinstati.
U posebnoj posudi pripremiti besamel sos - ugrejati 500 g mleka i u njegasipati brasno razmuceno u 100 g hladnogmleka i jednu kasiku putera (maslaca)
U veci pleh redati naizmenicno pojednu koru, meso sa paradajz sosom i sampinjonima, posuti rendanim kackavaljem i preliti hesamel sosom, a zatim opet koru, meso, kackavalj, besamel.
Zavrsiti korom kackavaljem i besamelom. Staviti u rernu zagrejanu na 250°C, smanjiti na 200 °C i peci dok ne porumeni, oko 45 minuta.
Sluziti toplo!",
corba od brokolija,../images/recipe1.jpg,"nizak_gi,niski_UH,niskokaloricno",133,5,8,9,22,"   •      300 g brokolija
   •      (moze i sa listom)
   •      1 l domace supe ili vode sa kockom za supu
   •      100 g krem sira (0% m. m.)
   •      20 g persuna (jedna veca saka)
   •      20 g mirodije (jedna veca saka)
   •      so, zacini po ukusu
   •      40 g hladno cedenog maslinovog ulja (5 supenih kasika)","Brokoli razavojiti na sitne cvetove a stabljiku iseckati, spustiti sve u prokljucalu supu, zaciniti i kuvati oko5 minuta. 
Sve presuti u elektrinu seckalicu ili blender, dodati persun, mirodiju i krem sir pa pasirati dok se corba ne ujednaci (1-2 min.). 
Za svaku osobu sipati corbu u tanjir, dodati jednu supenu kasiku hladno cedenog maslinovog ulja i posuti seckanom mirodijom. 
Sluziti toplo.",
Sojini odresci sa sosom od pecuraka../images/recipe13.jpg,"nizak_gi,niski_UH,niskokaloricno",133,8.6,8.1,7.3,23,"   •      150 g sojinih odrezaka
   •      150 crnog luka
   •      40 g ulja od grozdanih kostica
   •      350 g sampinjona
   •      130 g kisele pavlake (12% m. m.)
   •      70 g pecenog, neslanog kikirikija
   •      1 supena kasika gustina
   •      so, biber, dumbir u prahu, lovorov list, zacini po ukusu","Sojine odreske staviti u kljucalu vodu sa zacinima (so, vegeta, lovorov list) i kuvati oko 10 minuta.
Na ulju dinstati sitno iseckan crni luk i sampinjone isecene na listice, 5-10 minuta.
 Zaciniti i dodati oljusten kikiriki i gustin razmucen u malo vode. Doliti oko 2 di vode, prokuvati par minuta, poklopiti, skloniti sa vatre i ostaviti da odstoji oko 10 minuta.
Servirati uz zelenu salatu ili salatu od kupusa.
",
Sufle od kelja,../images/recipe17.jpg,"nizak_gi,niski_UH,niskokaloricno",145,3.5,11,9.6,23,"   •      500 g ociscenog kelja (manja glavica)
   •      250 g mladog sira (25% m. m.)
   •      100 g kackavalja
   •      2 jaja
   •      200 g neutralne pavlake za kuvanje
   •      so, zacini po ukusu","Keli ocistiti i listove dobro oprati. Iseci ih na trake sirine oko 2 cm i obariti u kljucaloj, posoljenoj vodi, oko10 minuta, a zatim ga dobro ocediti. Polovinu kelja staviti u vatrostalnu posudu (ili manji pleh za pecenje), posuti polovinom mladog sira (izmrviti ga rukom) i polovinom narendanog kackavalja.
Preko toga staviti ostatak kelja, drugu polovinu sira i kackavalja i preliti jajima, umucenim sa neutralnom pavlakom.
Ostaviti da odstoji oko 20 minuta, a zatim staviti u renu zagrejanu na 250°C, smanjiti na 200°C i peci oko 40 minuta, dok ne dobije rumenu boju.
Sluziti toplo!",
"Šarena salata, od testenine sa povrcem",../images/recipe9.jpg,niskokaloricno,145,18,4.3,6.2,34,"   •      500 g testenine sa povrcem
   •      150 g kuvane sunke
   •      60 g kisele paprike (zute ili crvene)
   •      60 g sargarepe
   •      60 g kiselih krastavcica
   •      100 g majoneza lajt
   •      200 g kisele pavlake (12% m. m.)
   •      15 g belog luka (4-5 cenova)
   •      1 kasicica senfa
   •      so, zacini po ukusu","Testeninu spustiti u posoljenuprokljucalu vodu u koju je dodato maloulja (da se rezanci ne bi lepili).
 Kada je kuvana (paziti da se ne raskuva) isprati je pod mlazom hladne vode i dobro ocediti. 
Pomesati sa majonezom, pavlakom i senfom, pa dodati povrée, sitno iseckano na kockice, sunku iseckanu na kockice i proprenu u tiganju (bez masnoce) sa iseckanim belim lukom. 
Sve pazijivo promesati i sluziti hladno.",
Pileca salata sa kikirikijem,../images/recipe19.jpg,"nizak_gi,niski_UH",203,3.4,11.6,15.8,14,"   •      500 g pileceg belog mesa
   •      180 g kiselih krastavaca
   •      150 g pecenog slanog kikirikija
   •      150 g kisele pavlake (12% m. m.)
   •      150 g lajt majoneza
   •      1 supena kasika senfa
   •      so, biber, zacini po ukusu.","Pilece meso skuvati i sitno iseci. Kisele krastavce iseci na kockice, a kikirikiusitniti  u elektricnoj seckalici, tako da ostane i krupnijih komadica.Pomesati meso i kikiriki, dodati pavlaku, majonez senf, zaciniti po ukusu i sve dobro izmesati. Ohladiti i servirati!",
Domaci hleb,../images/recipe7.jpg,,242,24.4,12.2,10.6,48,"   •      230 g ovsenog brasna
   •      200 g integralnog razanog brasna
   •      100 g mekinja
   •      50 g lanenog semena
   •      50 g susama
   •      50 g semena suncokreta
   •      so, voda,
   •      50 g semena bundeve
   •      1 kasicica secera
   •    50 g psenionih klica
   •      30 g svezeg kvasca","Kvasac izmrviti, pomesati sa secerom, kasikom brasna i malo mlake vode i sacekati da naraste. 
Smesu sipati u mesavinu brasna i semenki, dodati jednu supenu kasiku soli i oko 3 dl mlake vode i mesiti dok smesa ne poine da se odvaja od posude.
 Posudu prekriti mokrom platnenom salvetom i ostaviti na toplom mestu da naraste.
 Kada testo udvodstruci svoju velicinu, premesiti ga, staviti u posudu za pecenje i ostaviti da ponovo naraste. 
Staviti u renu, zagrejanu na 200°C, i peci 20 minuta. Izvaditi iz rerne, premazati polovinom umucenog belanceta i vratiti da se pece jos 20 minuta.
 Ponovo premazati belancetom i peci jos 20 minuta.
Proveriti da li je hleb pecen tako sto se donja strana kucne prstima. Ukoliko ne odzvanja, vratiti hleb na resetku u rerni, okrenut donjom stranom na gore, i peci jos 5 minuta. 
Ohladiti hleb na resetki, prekriven suvom platnenom salvetom.",
Kolac sa makom i jabukama,../images/recipe21.jpg,,272,23.2,6.2,17.1,28,"Za testo:
   •      5 jaja
   •      120 g kokosovog secera
   •      150 g ovsenog brasna
   •      225 g mlevenog maka
   •      60 g pseninog griza
   •      600 g izrendanih jabuka (sa kozicom)
   •      110 g ulja od grozdanih kostica
   •      75 g mleka (1.6% m. m.)
   •      1 prasak za pecivo
   •      teni zasladivac po ukusu
za glazuru:
   •      75 g mleka (1.6% m. m.)
   •      40 g putera
   •      150 g cokolade za kuvanje","Umutiti penasto jaja sa kokosovim secerom, dodati brasno sa praskom za pecivo, mak, jabuke, griz, mleko, ulje i teni zaslaiva po ukusu, pa sve dobro izmesati. Pleh dimenzija 20 x 30 cm premazati uljem i posuti brasnom, a zatim sipati smesu i peci u rerni zagrejanoj na 200 °C oko 40 minuta, dok se kola blago ne odvoji od ivica pleha. Kada se ohladi preliti ga glazurom.
Za glazuru istopiti cokoladu u posudi, na niskoj temperaturi, dodati mleko i puter i mesati sve dok se ne sjedini u glatku, homogenu masu.",
